hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
10004040,14,16,3,13,16,8,16,6,8,3,5,8,4,8,6,8,3,5,8,4,8,0
10038010,8,15,8,8,16,4,4,4,7,4,4,8,4,4,4,7,4,4,8,4,4,1
10038040,16,16,16,16,16,16,4,8,8,8,8,8,8,4,8,8,8,8,8,8,4,1
10109030,12,15,11,9,11,3,11,8,7,7,5,7,3,7,4,7,3,1,7,3,3,1
10147010,1,5,11,3,3,5,,1,1,7,3,3,1,,1,1,3,3,3,1,,1
10372010,11,13,11,9,9,9,1,7,5,7,5,5,5,1,7,5,3,1,5,5,1,1
10453020,16,12,12,4,,,3,8,8,8,4,,,3,8,4,4,4,,,3,1
10577010,11,,15,11,16,15,9,7,,7,7,8,7,5,7,,7,7,8,7,5,1
10645031,3,12,4,,,,,3,8,4,,,,,3,8,4,,,,,0
10648010,12,3,4,12,16,11,1,8,3,4,8,8,7,1,4,3,4,4,8,3,1,1
10648020,12,12,11,11,9,12,12,8,8,7,7,5,8,8,4,8,7,7,5,8,8,1
10708030,1,1,9,11,1,1,,1,1,5,7,1,1,,1,1,1,3,1,1,,0
10769040,4,10,12,,12,12,,4,6,8,,8,8,,4,6,8,,8,4,,0
10818010,12,10,14,12,15,11,,8,6,6,8,7,7,,4,6,6,8,7,3,,1
10818040,11,12,12,16,16,12,16,7,8,8,8,8,8,8,7,8,8,8,8,4,8,0
11067030,10,10,16,10,12,8,12,6,6,8,6,8,4,8,2,6,8,6,8,4,4,1
11141010,12,16,4,4,,7,,8,8,4,4,,3,,8,8,4,4,,3,,1
11141020,16,16,16,16,16,16,,8,8,8,8,8,8,,8,8,8,8,8,8,,1
11230010,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1
11256010,2,2,10,2,2,10,9,2,2,6,2,2,6,5,2,2,6,2,2,2,1,1
11333020,16,16,12,12,12,,,8,8,8,8,8,,,8,8,8,8,8,,,1
11378010,6,8,14,,2,,,2,4,6,,2,,,2,4,6,,2,,,1
11378020,12,4,4,8,16,16,8,8,4,4,4,8,8,4,4,4,4,4,8,8,4,1
11590020,9,11,9,11,3,1,1,5,7,5,7,3,1,1,5,7,5,7,3,1,1,1
11611010,14,6,14,16,2,16,14,6,2,6,8,2,8,6,6,2,6,8,2,8,6,1
11620010,16,16,14,10,10,14,14,8,8,6,6,6,6,6,8,8,6,6,2,6,6,1
